content,valence,arousal,dominance
be,6.18,3.43,5.5
have,5.86,3.52,5.72
new,7.68,5.14,5.22
will,5.32,2.9,6.61
home,7.48,3.78,6.77
can,6.41,3.14,6.44
page,6.09,3.45,6.37
search,5.56,3.85,5
free,8.25,5.38,6.5
one,6.09,2.67,5.56
other,5.41,3.48,6
do,5.41,3.67,6.35
information,6.33,2.3,5.39
time,5.6,3.41,4.36
site,5.22,3.55,6.09
may,5.55,3.19,5.94
news,4.96,4.61,4.48
use,5.18,4.19,5
see,6.27,3.9,6
contact,6.17,3.33,5.78
business,5.48,3.71,5.35
web,5.68,4.14,3.96
help,6.95,4.29,6.89
get,6.09,3.67,5.65
view,6.67,3.3,6.84
first,7.33,4.9,6.38
would,5.91,3.81,5.94
click,5.7,2.81,5.52
like,7.44,4.4,6.28
service,6.83,2.95,5.33
find,6.45,3.52,6.24
price,4.94,3.4,4.61
date,7.18,4.33,5.11
back,4.76,2.59,5.22
top,6,4.33,6.25
people,5.7,3.77,5.4
list,5.89,2.55,5.61
name,5.62,3.04,5.14
state,5.73,3.29,5.65
year,5.75,3.33,5.81
day,6.36,3.62,5.59
email,6,4.5,6.11
two,6.3,3.33,5.05
health,6.85,3.48,6
world,6.46,4.55,5.12
go,6.32,4.86,5.33
work,5.05,4.33,6.12
music,7.67,5.57,6.5
buy,6.82,4.29,6.78
make,6.09,3.67,6.22
product,5.5,3.45,6.04
system,5.5,3.38,5.65
post,5.05,3.58,6.32
city,6.12,5.08,5.04
add,6.23,4,6.79
policy,3.77,3.3,6.11
number,5.59,3.5,6.13
available,6.86,4.04,6.59
copyright,4.43,2.96,5.5
support,6.89,3.05,6.11
message,6.18,3.81,6.78
software,6.37,3.83,5.32
good,7.89,3.66,6.41
video,6.64,4.8,5.84
info,5.95,3.72,5.06
public,5.33,3.35,4.94
high,5.77,4.1,5.76
school,5.41,4.57,5.88
review,5.09,3.77,6.04
order,5.82,3.19,6.56
privacy,6.36,3.95,6.9
book,7.05,3.13,6.41
company,5.64,3.29,5
read,6.73,3.7,6.11
group,5.78,3.43,4.39
need,5.45,3.67,5.06
user,3.67,3.21,5.56
set,5.23,3.1,5.81
general,5.32,3.71,5.24
research,6.5,4.8,7.16
university,6.95,4.24,5.7
mail,6.28,3.81,5.26
full,6,3.48,6.06
map,5.81,3.95,5.79
program,5.5,3.9,6.53
life,6.68,5.59,5.89
know,6.82,3.24,5.78
way,5.91,2.9,4.83
management,4.95,3.24,4.7
part,4.77,3.36,5.21
great,7.5,4.14,6.65
hotel,6.6,4.55,5.59
real,7.09,4.05,5.89
item,5.29,2.9,5.5
international,5.65,3.95,5.33
center,5.56,2.62,5.72
must,5.45,4.1,5.06
store,5.94,3.43,5.44
travel,7.89,5.55,6.82
development,5.25,4.23,6.68
report,4.77,3.52,4.94
member,5.95,3.47,6.89
line,4.82,3.24,4.89
send,6.18,3.43,5.94
right,7.32,5,7.16
type,6.06,2.86,4.89
local,6.77,3.8,6.68
office,4.54,3.05,5.16
education,6.58,4.64,6.82
national,5.62,3.45,6.63
car,6.63,4.04,6.41
design,6.8,3.95,5.8
take,4.82,4.52,4.83
internet,6.68,5.44,6.24
address,6.11,3.05,4.89
community,6.09,3.8,7.11
area,5.56,2.19,5.06
want,6,5.29,5.39
phone,6.09,3.43,4.44
shipping,5.6,4.41,6.08
reserved,5.63,2.79,5.39
subject,5.33,4.2,6.37
forum,5.05,4.47,5.48
family,7.25,4.35,5.98
code,4.67,2.76,4.83
show,5.91,4.1,5.83
black,5.4,3.58,5.48
check,6.55,3.38,4.67
special,7.5,3.48,6.72
website,6.76,3.58,5.68
sign,5.27,3.19,5.38
file,5.44,3.4,4.61
link,5.9,3.15,5.91
open,6.14,4.43,6.17
technology,5.53,4.62,5.2
south,6.11,3.48,4.89
case,5.18,4.14,6.11
project,5,4.55,7.63
version,5.3,3.43,5.48
section,5.05,3.75,6
house,7.19,3.95,6.41
security,6.41,4.19,6
county,5.18,3.4,7
photo,6.58,4.6,6.05
game,6.79,5.05,5.84
power,5.97,5.41,6.17
care,7.64,2.67,6.56
network,5.05,4.43,5.39
computer,6.84,4.92,6.58
three,5.43,3.38,5.45
total,5.32,4.25,6.89
place,5.86,3.52,6.53
end,4.73,3.95,4.41
download,6,3.6,6.26
access,6.68,5.3,6.89
think,6.68,3.75,6.5
north,5.72,2.15,5
current,5.53,3.25,5.9
big,5.64,4.33,5.61
law,4.55,3.55,4.83
control,4.43,4.76,5.47
water,7,3.71,6.12
history,6,3.38,4.8
pictures,7.22,4.29,6.72
size,5.61,3.14,5.22
art,6.85,4.48,6.02
personal,6.09,3.57,4.72
guide,5.43,3.33,5.75
shop,5.89,4.76,5.72
directory,5.21,3.33,6.13
board,5.33,3.52,5.37
location,5.77,4.58,6.19
change,5.09,4.05,5.81
white,6.18,3.35,5.71
text,6.5,3.48,6.33
small,5.76,3.43,4.53
rating,4.64,4.77,6.37
rate,5.68,4.17,5
government,3.78,3.75,3.11
children,6.36,5.09,5.95
return,5.95,3.29,5.71
account,5.39,3.76,5.06
times,5.91,3.19,6.12
level,5.72,2.15,5.61
digital,6,4.36,5.82
profile,5.94,2.6,5.32
previous,4.74,3.59,5.12
form,5.64,3.85,6.47
love,8,5.36,5.92
old,3.19,4.48,4.22
main,5.27,4.1,6.79
call,6.18,3.29,5.61
image,5.58,3.48,6.04
department,5.33,2.5,4.83
title,5.71,2.15,5.25
description,5.24,3.64,5.54
insurance,3.76,3.8,5.84
shall,5.86,3.52,5.89
property,6,4.75,6.68
class,5.73,4.43,5.24
money,7.1,6.86,6.32
quality,6.86,3.65,6.46
listing,5.67,2.9,5.56
content,6.7,3.17,5.92
country,6.14,3.71,6.35
private,5.44,3.62,4.33
little,5.91,4.2,5.18
visit,6.56,3.9,5.06
save,7.26,4.62,6.34
low,4.39,2.21,3.11
reply,6.15,3.44,6.79
customer,5.86,3.4,6.16
compare,5.09,3.78,6.37
include,6.39,3.05,5.84
college,6.44,4,5.89
value,7.18,5.79,6.24
article,5.68,3.5,5.68
man,5.42,4.36,5.44
card,5.5,2.67,5.06
provide,6.67,4.76,5.96
food,7.52,4.69,6.08
source,5.48,4.5,6.11
author,6.33,2.73,6.38
different,5.91,3.95,6.47
press,5.39,2.8,4.78
learn,6.85,4.8,7
sale,6.23,6.05,6.16
print,5.65,2.74,6.67
job,5.64,4,4.44
process,5.62,3.9,6.11
teen,5.1,3.86,4.89
room,5.55,3.1,5.71
stock,5.5,3.5,4.62
training,5.19,4.1,6.26
credit,5,4.38,5
point,5.45,3.86,6.27
join,5.83,3.9,4.94
science,6.32,5.25,6.74
advanced,6.14,3.83,6.96
west,5.72,3.05,4.94
look,5.95,3.76,5.88
team,5.91,3.38,6.53
estate,5.65,3.45,5.27
box,5.33,2.67,4.67
select,6.1,4.05,5.46
gay,6.11,4.05,4.78
thread,5.5,3.87,5.5
week,5.27,3.33,5.28
category,5.05,2.67,5.48
note,5.78,3.33,5.28
live,7.95,4.71,6.5
large,5.77,5.35,5.05
gallery,6.9,3.32,5.68
table,5.49,3,5.84
register,5.43,3.14,5.29
market,6.21,3.55,5.77
library,6.33,2.52,6.35
action,6,6.19,6.17
start,6.41,4.81,5.5
series,5.23,3.62,6.05
model,6.38,3.9,6.53
air,6.71,3.25,5.72
industry,5.07,4.25,4.65
plan,6.14,3.86,6.28
human,6.45,3.62,5.71
tv,6.05,4.24,5.24
TV,5.42,4.29,6.23
second,5.23,3.48,5.35
hot,5.73,4.76,5
cost,4.11,4.9,3.67
movie,7.24,4.39,5.68
say,5.91,4.43,6.88
yahoo,4.95,5.6,5.9
medical,5.22,4.05,4.22
test,4.44,4.3,4.06
friend,6.79,4.29,6.31
come,5.64,3.57,5.94
server,5.35,3.71,5.14
study,5.78,2.55,5.33
application,5.05,4.52,4.3
cart,5.37,3.18,5.83
staff,5.18,4.3,6.26
feedback,5.91,4.17,5.58
play,7.55,3.81,6.29
complete,6.5,2.57,7.17
street,5.07,3.45,5.41
topic,5.5,3.2,5.96
comment,5.65,3.56,5.96
financial,5,4.55,4.82
standard,4.76,3.61,5.14
tax,3,4.52,3.05
person,6.1,3.71,6
mobile,5.81,3.76,5.9
blog,5.14,3.61,6.11
party,7.18,6.08,5.92
payment,5.16,4.44,5.19
equipment,5.62,3.04,5.2
student,6.41,4.25,6.79
let,5.95,2.71,6.06
legal,5.24,3.35,6.68
recent,5.42,3.82,4.86
park,7,2.7,5.56
side,5.32,3.14,5.82
act,5.64,4.19,6.11
problem,3.52,4.81,4.94
red,5.67,5.02,5.2
give,7.73,4.57,5.72
memory,6.58,4.08,5.75
performance,6.2,5.61,6.95
social,6.08,5.16,5.17
quote,5.85,2.95,5.89
language,6.38,3.7,7.37
story,7.27,3.52,5.33
sell,5.33,4.19,5.88
experience,6.89,3.71,6.94
create,7.86,6.26,7
key,6.22,3.9,6.75
body,5.95,4.62,5.76
young,6.31,4.09,5.6
important,6.82,4.71,6.39
field,5.73,3.84,5.74
east,6.33,2.5,5.17
paper,5.42,3.52,5.64
single,5.39,3.85,4.83
age,5.78,3.71,4.67
club,6.5,3.76,5.11
example,4.9,3.55,6.74
additional,6.15,3.61,4.95
password,5.5,3.71,6.39
road,5.59,3.81,6
gift,7.27,4.64,6.32
question,6.36,3.67,5.88
night,6.68,3.57,5.22
hard,4.35,4.5,4.96
pay,6.23,4.24,6.33
four,5.26,3.39,5.65
poker,5.79,5.05,5.67
status,4.89,3.83,5.28
browse,5.47,3.57,5.95
issue,3.95,4.55,5.47
range,5.11,3.9,5.57
building,5.47,3.35,6
seller,4.82,4.09,4.68
court,3.52,4.43,3.94
result,6.11,4.14,6.13
audio,6.56,4.29,5.96
light,6.55,3.52,5.89
write,6.45,3.81,5.28
war,2.23,6.27,3.27
offer,5.67,3.5,5.44
blue,6.53,3.69,5.79
easy,7.47,3.82,6.79
event,6.21,5.1,5
release,6.64,4.55,6.37
analysis,5.25,3.74,5.95
request,5.85,4.45,5.67
fax,5.24,3.37,5.67
picture,6.73,3.29,6.12
possible,7.14,3.71,6
professional,6.29,4.4,6.74
month,5.78,3.64,5.05
major,5.52,4.24,5.28
star,7.47,5.5,5.82
future,6.68,5.33,5.53
space,6.89,3.6,4.98
committee,5.52,3.56,5.56
hand,5.9,3.98,5.88
sun,6.92,4.64,4.98
meeting,4.55,3.71,5.47
become,6.32,3.43,6.18
interest,6.66,4.36,6.31
id,5.5,2.94,5.36
child,7.2,5.33,5.2
keep,6.32,3.43,5.71
enter,6.09,4.3,6.79
share,6.22,3.2,6.44
similar,5.86,3.43,5.8
garden,7.25,3.71,6.13
million,7.55,5.38,5.82
reference,5.63,3.41,5.38
baby,6.67,4.97,4.94
energy,6.9,6.25,6.53
run,6.41,5.24,5.44
delivery,6,4.04,5.37
net,5,3,4.61
popular,5.71,4.74,5.19
term,5.57,3.6,5.5
film,6.33,4.1,6.17
put,5.09,3.86,5.94
journal,5.91,3.23,6.31
try,5.64,4,5.94
welcome,7.27,3.76,6.24
central,5.33,3.5,5.76
president,5.23,4.71,4.38
President,5.19,3.83,4.52
notice,5.94,3.38,5.11
original,7.5,4.4,7.16
head,5.86,4.45,5.56
radio,6,3.84,6.27
cell,4.09,4.23,4.86
color,7.05,3.18,5.95
self,6.86,4.78,7.74
council,5,3.86,5.21
track,5.78,3.76,4.67
discussion,6.18,5,5.95
archive,4.81,4.18,5.24
entertainment,7.59,6.42,5.86
agreement,6.75,4.05,6.48
format,5.19,2.73,4.81
society,5.24,4.55,6.32
log,4.94,4.29,5.7
safety,7.14,3.8,6.47
sure,6.64,3.48,6.82
trade,5.91,4.45,6.26
edition,5.3,3.79,4.81
marketing,4.83,4.75,5.09
tell,5.27,3.86,4.94
association,5.5,3.67,6.14
able,6.64,3.38,6.17
fun,8.37,6.32,7.04
green,6.29,4.07,5.64
close,5.23,3.81,5.94
common,5.94,2.43,5.83
drive,6.5,4.19,5.67
specific,5.48,2.55,5.89
gold,7.28,6.35,5.8
collection,5.9,4.44,6.9
short,5.67,2.62,4.39
ask,5.95,3.48,6.29
display,6.19,3.81,6.48
director,4.95,3.75,6.89
daily,5.74,4.2,5.38
beach,7.21,5.1,5.7
past,5.09,4.71,5.18
natural,6.42,3.67,5.16
due,4.94,4.38,3.72
electronics,6.5,4.6,5.96
five,5.4,3.55,5.65
period,3.33,4.2,6
database,4.75,3.33,6.12
official,5.75,4.04,5.45
weather,6.05,4.21,4.37
mar,3.47,3.41,4.52
land,6.61,3.05,5.94
average,4.89,3.29,5.59
technical,5,5.28,6.24
window,6.47,3.27,5.39
pro,6.36,3.81,6.32
region,5.21,3.24,6.04
island,7.18,4.25,5.58
record,5.89,3.3,5.5
direct,5.75,4.29,6.38
conference,5.1,2.95,4.88
environment,6.7,3.45,4.62
district,4.9,3,4.62
calendar,5.53,2.9,5.59
style,6.81,4.6,7.47
statement,5.32,3.7,6.89
update,5.85,3.89,5.71
sound,6.45,4.14,5.5
resource,5.63,3.71,6.17
present,6.85,4.82,6.65
document,5.42,2.9,5.41
word,5.77,4,6.22
material,5.71,3.74,5.48
bill,3.11,4,4
talk,6.64,3.38,6.44
federal,3.06,4.45,2.76
final,4.56,4.4,3.94
adult,5.9,4.36,6.46
thing,5.55,3.43,5.41
cheap,5.24,4.47,5.89
kids,6.48,5.69,5.13
finance,4.81,5.6,4.57
TRUE,7.51,4.98,7
third,5,2.64,5.61
rock,5.72,3.14,5.26
bad,3.24,4.86,3.56
individual,6.17,3.47,6.86
auto,5,4.95,5.7
cover,5.59,3.76,5.78
edit,4.95,4.1,6.64
percent,5.67,3.24,5.5
function,5.55,4.1,6.18
fact,6.23,3.29,6
unit,5.29,3.33,5.18
global,5.57,3.7,4.77
tech,5.77,4.1,5.55
meet,6.09,3.71,5.89
economic,5.1,3.62,4.21
player,5.55,5.95,5.68
lyrics,6.42,4.95,5.8
subscribe,5.43,4.26,6.23
submit,3.9,3.91,4.43
amount,5.42,3.53,5.39
watch,5.45,3.37,6.55
feel,6.27,4.05,5.5
bank,6,4.19,4.78
risk,5.17,6.43,3.89
thanks,7.73,4.05,6.72
various,5.52,3.82,4.86
production,6.06,4.78,6.05
commercial,4.11,4.43,4.35
weight,3.91,4.05,5.95
town,5.59,3.81,5.47
heart,6.95,5.07,5.43
advertising,4.68,3.25,5
choose,6,3.6,6.83
treatment,5,4.47,4.53
newsletter,5.19,3.63,5.03
knowledge,7.28,4.86,7.2
magazine,6.24,4.2,7.05
error,3.36,4.43,4.18
camera,6.61,3.05,6.39
girl,7.15,5.23,5.27
construction,5.53,3.73,5.74
clear,6.14,2.71,6.17
golf,5.67,3.68,5.81
receive,7.14,4.3,6.79
domain,5.05,3.36,6.92
chapter,5.7,3.86,6.21
protection,6.73,4.32,6.71
loan,4.19,3.3,3.77
wide,4.58,3.05,6.2
beauty,7.58,4.89,5.6
manager,4.82,4.15,7.16
position,5.56,3.35,4.72
step,5.68,3.48,6
engineering,6,3.14,5.61
simple,7.17,2.71,6.5
quick,6.08,5.16,6.18
wireless,6.9,4.05,6.67
license,5.91,4.7,6.79
lake,7.13,2.64,5.36
whole,5.86,3.48,6.24
annual,5.19,3.7,4.9
basic,5.5,2.95,6.05
corporate,4.9,4.74,5.05
church,5.21,3.63,5.04
method,5.2,4.17,6.13
purchase,6.47,5.1,6.64
active,6.47,5.62,6.32
response,5.95,3.56,6.05
practice,5.72,2.5,6.11
hardware,6.11,4.41,5.32
figure,5.09,3.67,5.39
fire,4.32,6.05,4.57
holiday,7.18,4.93,6.37
chat,5.75,4.27,6.22
death,1.89,5.53,3.42
speed,6.71,6.8,6.58
loss,2.9,5.2,4.47
face,6.36,4.59,5.96
brand,5.05,2.82,4.57
discount,5.78,4.62,5.86
remember,6.5,3.14,6.31
oil,3.91,4.25,5.63
bit,5.05,3.86,5.53
yellow,6.09,3.83,6.35
political,4.35,4,4.08
increase,5.9,5.06,6.09
advertise,5.16,4.29,5.74
kingdom,6.74,4.2,6.75
base,5.68,3.1,6.37
environmental,5.5,6.05,5.68
thought,6.76,4.16,6.15
stuff,5.86,3.52,4.83
storage,4.95,3.68,6.23
shoes,5.88,3.57,6.39
entry,4.95,4.41,6.37
stay,6.14,3.14,5.71
nature,6.88,4,5
availability,5.68,4.38,5.5
summary,5.05,3.29,6.09
turn,5.45,3.48,5.88
mean,2.43,4.81,4.17
growth,6,4.95,6.04
agency,5.14,3.17,4.89
king,6,4.45,5.53
activity,6.21,4.86,6.45
copy,5.22,3.15,4.67
drug,4.11,4.48,3.67
western,5.35,4.48,5.29
income,6.26,3.82,6.36
force,4.17,5.35,4.22
cash,7.51,6.59,6.16
employment,6,5.02,5.36
overall,5.17,2.95,4.81
bay,7.23,3.26,4.86
river,6.72,4.22,4.89
commission,5.81,4.59,5.38
ad,4.11,3.33,5.18
package,5.17,4.73,5.17
contents,5.79,4.46,5.76
engine,5.48,3.89,5.36
port,5.55,3.38,5.92
album,6.19,5.63,5.86
regional,4.95,4.95,5.08
stop,4.73,4.14,5.06
administration,4.45,3.23,4.77
bar,5,4.53,5.48
institute,4.95,3.5,5.11
double,5.78,3.38,5.11
dog,7,5.43,5.73
build,6.33,3.38,6.5
screen,5.55,4.09,5.63
exchange,5.9,4.76,5.88
electronic,6.52,3.64,5.41
continue,5.61,2.9,6.17
season,6.71,3.2,6.16
apply,5.16,3.24,6.2
printer,5.65,3.68,6.11
condition,4.32,4.15,6.53
effective,6.95,3.95,7.2
believe,7.05,3.33,6.56
organization,5.71,3.09,5.96
effect,5.5,4.08,5.88
mind,6.7,5.05,6.09
selection,5.1,3.95,6.82
casino,4.68,6.05,4.84
lost,2.53,5.11,3.85
tour,6,4.8,7
menu,6.3,4.17,6.29
volume,5.25,5,6
cross,5.67,3.05,4
mortgage,3.45,4.43,3.74
hope,7.48,5.29,6.78
silver,7.48,4,7.05
corporation,3.82,4.73,4.47
wish,7.14,3.38,6.5
solution,6.3,4.29,6.53
mature,5.95,3.48,7.05
role,5.1,4.4,5.36
supply,5.11,3.28,5.24
certain,6.11,3,6.78
executive,4.95,4.32,4.95
running,6.53,5.52,5.89
necessary,5.39,3.38,4.89
union,5.85,4.05,5.68
jewelry,7,3.38,6.19
clothing,6.37,4.44,6.72
com,5.76,4.35,6.11
particular,5.05,3.9,7.53
fine,6.5,3.86,5.78
hour,5.05,3.38,6.25
gas,4.06,4.4,4.17
six,4.85,3.18,5.58
bush,4.75,2.67,5
advice,5.78,3.05,5.83
career,6.11,4.24,6.17
military,4.9,5.8,5.89
rental,4.58,3.73,5.14
decision,5.5,3.43,6.89
leave,4.68,4.48,5.47
teens,5.58,3.96,4
huge,5.72,4.24,4.89
woman,7.09,3.8,5.93
zip,5.06,4.24,4.67
bid,5.16,4,5.67
kind,7.78,3.19,7.62
middle,5.22,2.85,5.11
move,4.95,4.24,5.12
cable,5.9,3.52,5.79
division,4.42,3.57,5.48
